Index of pulse,TimeStamp,IPR,Tpi,Tpp,Tsp,TWRRF25,TWRRF50,Tsw25,Tsw50,Tsw75,Tdw25,Tdw50,Tdw75,Asp,AUCpi,IPA,Av-Au ratio,Ab-Aa ratio,Ac-Aa ratio,Ad-Aa ratio,Ap2-Ap1 ratio,AGI,Kurtosis,Skewness,L-H ratio,ShannonEntropy
1,124,113.63636363636363,0.504,0.528,0.15999999999999992,1.4545454545454581,1.2500000000000044,0.08799999999999986,0.06399999999999983,0.039999999999999813,0.1280000000000001,0.08000000000000007,0.04800000000000004,0.5629354947372877,1.4901820227515319,-0.1749285100166853,-0.8313227819956392,-1.6261645774486368,-0.9712002952507368,-0.9712002952507368,-0.4443406780552795,-0.3040831547325895,-0.9093267797592186,0.7654159332465631,2.8390321309276225,5.370440202641351
2,187,115.38461538461533,0.536,0.5200000000000002,0.18399999999999994,1.2307692307692335,1.222222222222226,0.10399999999999987,0.07199999999999984,0.04800000000000004,0.1280000000000001,0.08800000000000008,0.05600000000000005,0.7017299535018998,-18.491275283246324,2.6352124600489293,-0.7134805982346524,-1.7382970994139904,-1.0303064535150122,-1.0303064535150122,-0.003982626107612802,-0.2710979023629979,-0.8687044246214493,0.7202425253611557,2.8933651523312496,5.610001149560454
3,254,56.81818181818184,0.9119999999999999,1.0559999999999996,0.16800000000000015,4.166666666666662,1.2499999999999931,0.09600000000000009,0.06400000000000006,0.04800000000000004,0.3999999999999999,0.07999999999999963,0.472,0.5159040942517908,2.6868707966340177,1.5874775977314401,,-1.845802434683664,,,,,-0.9344854644857197,0.6845063016223439,1.6000338984186415,6.487886355080849
4,368,113.63636363636363,0.6800000000000002,0.528,0.31199999999999983,0.9285714285714323,0.900000000000005,0.11199999999999966,0.07999999999999963,0.0479999999999996,0.10400000000000009,0.07200000000000006,0.04800000000000004,0.7300182986160876,29.129256768927096,0.5576005918691773,-0.8375214883470901,-1.949838970066397,-1.1245948027880495,-1.1245948027880495,-0.2758358405240119,-0.44997819058871763,-0.042915692218858936,1.124669514747912,2.277534218651815,5.923393285707751
5,453,111.94029850746259,0.52,0.5360000000000005,0.1599999999999997,1.6363636363636447,1.5000000000000104,0.08799999999999963,0.06399999999999961,0.03999999999999959,0.14400000000000013,0.09600000000000009,0.05600000000000005,0.5433499547165118,5.8633130264563205,0.6170400382451577,-0.8736733041337518,-1.7449621801653892,-1.1418087051768948,-1.1418087051768948,-0.49756298944473576,-0.040667062003639044,-1.0246373527187083,0.6292082095756415,2.6718741404023345,5.542523963183699
6,518,113.63636363636373,0.5119999999999996,0.5279999999999996,0.17600000000000016,1.4615384615384615,1.2222222222222223,0.10400000000000009,0.07200000000000006,0.04800000000000004,0.15200000000000014,0.08800000000000008,0.05600000000000005,0.8599190110468851,15.514709368839247,1.131486212005854,-0.6935617082651937,-1.6330243649082687,-0.9917366205665736,-0.9917366205665736,0.014121552413440522,-0.29938403276959724,-0.9276854389508786,0.585790012928745,3.0827963176138233,5.59672774881977
7,582,115.38461538461529,0.5440000000000005,0.5200000000000005,0.19200000000000017,1.1538461538461537,1.0,0.10400000000000009,0.08000000000000007,0.04800000000000004,0.1200000000000001,0.08000000000000007,0.04800000000000004,0.58066009525093,-1.108180517619716,-2.3014654717914147,-0.8145459193405689,-1.9716640287006457,-1.0610309270742913,-1.0610309270742913,-0.1622269365918978,-0.5887923560091957,-0.810923274755198,0.8357089081620295,2.816817237419331,5.335904311009667
8,650,113.63636363636373,0.5199999999999996,0.5279999999999996,0.16800000000000015,1.0833333333333333,1.0,0.09600000000000009,0.07200000000000006,0.04800000000000004,0.10400000000000009,0.07200000000000006,0.04800000000000004,0.5671213535930878,43.2615459699377,0.47099009820654875,-0.8094179039337178,-1.8321163485308893,-1.0747711029319766,-1.0747711029319766,-0.27807614352765264,-0.41782797723619547,-0.7109585683926296,0.9091818788089421,2.957812979937042,5.380374535267433
9,715,115.38461538461529,0.49600000000000044,0.5200000000000005,0.17600000000000016,1.3076923076923077,1.2222222222222223,0.10400000000000009,0.07200000000000006,0.04800000000000004,0.13600000000000012,0.08800000000000008,0.05600000000000005,0.6040830041181073,5.862953351023294,0.17915239352635098,-0.7817762958136073,-1.566423402008425,-0.9502788343270085,-0.9502788343270085,-0.18157062938849883,-0.18795452395777412,-1.1386104101508758,0.5928065189580276,2.7289661804035323,5.3618477186757545
10,777,113.63636363636373,0.5439999999999996,0.5279999999999996,0.20000000000000018,0.9230769230769146,1.0,0.10400000000000009,0.07200000000000006,0.04800000000000004,0.0959999999999992,0.07200000000000006,0.040000000000000036,0.6324564731055065,23.386267962268292,0.6599242820253858,-0.9058745062321538,-1.9542351126287925,-1.1488279720192403,-1.1488279720192403,-0.4645946137898983,-0.46982620008852705,-0.6611098388030725,0.94509683612049,2.843883380344175,5.2998502856356815
11,845,113.63636363636354,0.5200000000000005,0.5280000000000005,0.18400000000000016,1.4166666666666667,1.2222222222222223,0.09600000000000009,0.07200000000000006,0.04800000000000004,0.13600000000000012,0.08800000000000008,0.05600000000000005,0.6290740782373133,4.990932489272764,0.21742544805213013,-0.7702803762437278,-1.69841669548713,-1.0958893827656542,-1.0958893827656542,-0.31621021044767544,-0.09580239934711042,-0.9338206339579145,0.7611349079197935,2.6462167254717577,5.42020626082901
