IPR,Tsp,TWRRF25,TWRRF50,Tsw25,Tsw50,Tsw75,Tdw25,Tdw50,Tdw75,AUCpi,IPA,Av-Au ratio,Ab-Aa ratio,Ac-Aa ratio,Ad-Aa ratio,Ap2-Ap1 ratio,AGI,Kurtosis,Skewness,L-H ratio,ShannonEntropy,Tpp,PRV,FullKurt,FullSkew,sdPRV,IQR_PRV
1.0,2.0,0.0,3.0,7.0,1.0,1.0,2.0,6.0,3.0,3.0,2.0,2.0,1.0,8.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,4.0
1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0
1.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0
1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,9.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0
1.0,1.0,2.0,6.0,0.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,3.0,0.0,2.0,3.0,5.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,8.0
0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,7.0,8.0,7.0,0.0,1.0,7.0,2.0,0.0,3.0,1.0,0.0,10.0,0.0,2.0
12.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,6.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,13.0
13.0,3.0,2.0,4.0,7.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,11.0
5.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,7.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,9.0,0.0,1.0,4.0,0.0,4.0
4.0,8.0,0.0,4.0,1.0,0.0,1.0,2.0,9.0,2.0,5.0,3.0,4.0,1.0,5.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,4.0,1.0,5.0
