feature,avg_rank,avg_abs_shap
IPR,7.52,1.8680281233935279
Tsp,22.02,0.42399840240660025
TWRRF25,1.56,5.375583519733012
TWRRF50,12.16,1.0496483501312863
Tsw25,23.66,0.3516441203349306
Tsw50,27.32,0.16726647425352334
Tsw75,26.84,0.19445874348539893
Tdw25,10.34,1.1529567804416123
Tdw50,22.3,0.41717891995829004
Tdw75,9.34,1.2545475786376605
AUCpi,13.4,0.9340888406530422
IPA,24.16,0.32813492750355444
Av-Au ratio,11.8,1.0652989952382905
Ab-Aa ratio,7.34,1.6267392912686538
Ac-Aa ratio,21.82,0.4427255039010813
Ad-Aa ratio,11.96,1.0408010824622997
Ap2-Ap1 ratio,19.8,0.5314242269347667
AGI,9.36,1.2446284739904905
Kurtosis,2.22,4.923010791327559
Skewness,21.28,0.4501660278999019
L-H ratio,13.78,0.9122025952936567
ShannonEntropy,4.02,3.7982901135922047
Tpp,19.74,0.5471452040201966
PRV,17.86,0.6293274930385906
FullKurt,5.14,2.347650815875886
FullSkew,19.64,0.5466643558492925
sdPRV,2.22,4.972762881646495
IQR_PRV,17.4,0.6685979345941528
